Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,patttern2,MAKIHI00485
400,comparison,0,0,0,0,5.253067,,,
1600,reference,1,1,0,0,0.9880524,,,
500,comparison,0,0,0,0,2.487862,,,
1500,reference,1,1,0,0,0.7995453,,,
1400,reference,1,0,0,0,2.131943,,,
600,comparison,0,0,0,0,1.421539,,,
1300,comparison,1,1,0,0,0.5885773,,,
700,comparison,0,0,1,0,2.532028,,,
1400,reference,1,1,1,0,2.487396,,,
800,comparison,0,0,2,0,0.6663208,,,
900,comparison,0,1,2,0,1.654846,,,
1300,reference,1,1,2,0,0.573761,,,
1000,reference,0,0,2,0,4.342529,,,
1200,reference,1,1,2,1,0.9886475,,,
900,comparison,0,1,2,1,1.921356,,,
1100,reference,1,1,2,2,1.887848,,,
1000,reference,1,1,2,2,0.2997742,,,
1000,reference,0,0,2,2,0.5663147,,,
900,comparison,0,0,2,3,0.8551025,,,
900,comparison,1,1,2,4,0.2765198,,,
1000,reference,0,1,3,4,0.2999268,,,
1000,reference,1,0,3,5,0.4887085,,,
900,comparison,1,1,4,5,0.7442017,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,patttern1,MAKIHI00485
400,comparison,0,1,0,0,0.5438747,,,
1600,reference,1,0,0,0,0.5996704,,,
1500,reference,1,0,0,0,1.154633,,,
500,comparison,0,1,0,0,0.4877319,,,
1400,reference,1,0,0,0,0.4650345,,,
600,comparison,0,0,0,0,0.4998322,,,
700,comparison,0,0,0,0,0.5094147,,,
1300,reference,1,1,0,0,0.5772705,,,
1200,reference,1,1,0,0,1.744049,,,
800,comparison,0,0,0,0,1.332352,,,
900,comparison,0,1,0,0,0.888443,,,
1100,reference,1,0,0,0,0.7220001,,,
1000,reference,0,0,0,0,1.366043,,,
1000,reference,1,0,0,1,0.7552032,,,
900,comparison,0,1,0,1,1.354813,,,
900,comparison,1,1,0,2,0.8218079,,,
1000,reference,0,0,1,2,1.121887,,,
1000,comparison,1,1,1,3,2.787506,,,
1100,reference,1,0,1,3,0.4664917,,,
900,comparison,0,0,2,3,2.365356,,,
1000,comparison,0,1,2,4,0.6326294,,,
1000,comparison,1,1,2,4,0.3330994,,,
1100,reference,1,0,3,4,0.2886963,,,
1100,reference,0,1,4,4,0.2886353,,,
1000,reference,1,1,4,5,0.9324951,,,
900,comparison,1,1,4,5,0.4220581,,,
Gain,MoreHeavy,low_or_high,ref_or_com,des,asc,経過時間,,pattern1,DAYUKO10100
1600,reference,1,0,0,0,11.39523,,,
400,comparison,0,0,0,0,2.409897,,,
500,comparison,0,0,0,0,1.532524,,,
1500,reference,1,1,0,0,1.810318,,,
600,comparison,0,0,0,0,3.009735,,,
1400,reference,1,0,0,0,1.121567,,,
