
セット数,1回目,2回目,ref_or_com,より重かった方,その数値
1 - (1),1.25,1,1,comparison,1.25
1 - (2),1,1.75,0,reference,1
1 - (3),1,0.75,0,comparison,0.75
1 - (4),0.5,1,1,comparison,0.5
1 - (5),1.5,1,1,reference,1
1 - (6),1,0.25,0,comparison,0.25
2 - (1),1.25,1,1,reference,1
2 - (2),0.25,1,1,comparison,0.25
2 - (3),1,1.75,0,reference,1
2 - (4),1,0.75,0,comparison,0.75
2 - (5),1,0.5,0,comparison,0.5
2 - (6),1.5,1,1,reference,1
3 - (1),0.5,1,1,reference,1
3 - (2),1,0.25,0,comparison,0.25
3 - (3),1,1.25,0,reference,1
3 - (4),1.75,1,1,reference,1
3 - (5),0.75,1,1,comparison,0.75
3 - (6),1.5,1,1,reference,1
4 - (1),1,0.75,0,comparison,0.75
4 - (2),1,0.25,0,comparison,0.25
4 - (3),1,1.25,0,reference,1
4 - (4),1,0.5,0,comparison,0.5
4 - (5),1,1.75,0,reference,1
4 - (6),1,1.5,0,reference,1
5 - (1),0.5,1,1,comparison,0.5
5 - (2),1.25,1,1,reference,1
5 - (3),0.75,1,1,comparison,0.75
5 - (4),1,0.25,0,comparison,0.25
5 - (5),1,1.5,0,reference,1
5 - (6),1,1.75,0,reference,1
6 - (1),1.25,1,1,reference,1
6 - (2),1,0.25,0,comparison,0.25
6 - (3),0.75,1,1,comparison,0.75
6 - (4),0.5,1,1,comparison,0.5
6 - (5),1,1.5,0,reference,1
6 - (6),1.75,1,1,reference,1
7 - (1),1,0.25,0,comparison,0.25
7 - (2),1.25,1,1,reference,1
7 - (3),0.5,1,1,comparison,0.5
7 - (4),1,1.75,0,reference,1
7 - (5),1,1.5,0,reference,1
7 - (6),1,0.75,0,comparison,0.75
8 - (1),1,0.25,0,comparison,0.25
8 - (2),1.5,1,1,reference,1
8 - (3),0.75,1,1,comparison,0.75
8 - (4),1,1.75,0,reference,1
8 - (5),1,0.5,0,comparison,0.5
8 - (6),1.25,1,1,reference,1
9 - (1),1.75,1,1,reference,1
9 - (2),1,0.75,0,comparison,0.75
9 - (3),1,0.25,0,comparison,0.25
9 - (4),0.5,1,1,comparison,0.5
9 - (5),1.5,1,1,reference,1
9 - (6),1,1.25,0,reference,1
10 - (1),1,1.5,0,reference,1
10 - (2),0.75,1,1,comparison,0.75
10 - (3),1,1.75,0,reference,1
10 - (4),0.5,1,1,comparison,0.5
10 - (5),1,0.25,0,comparison,0.25
10 - (6),1.25,1,1,reference,1
11 - (1),0.5,1,1,comparison,0.5
11 - (2),0.25,1,1,comparison,0.25
11 - (3),1,1.5,0,reference,1
11 - (4),1,1.25,0,reference,1
11 - (5),1,1.75,0,reference,1
11 - (6),1,0.75,0,comparison,0.75
12 - (1),1,0.25,0,comparison,0.25
12 - (2),1,0.5,0,comparison,0.5
12 - (3),1,1.75,0,reference,1
12 - (4),1.5,1,1,reference,1
12 - (5),0.75,1,1,comparison,0.75
12 - (6),1.25,1,1,reference,1
